"Language_ID","Feature","Value"
"ari3","HQ",0
"ari3","I",0
"ari3","IA",0
"ari3","IAHQ",0
"ari3","IH",0
"ari3","Q",0
"ari3","S",0
"ari3","SIAHQ",0
"ari3","V",0
"ari3","VS",0
"ari3","VSI",0
"arm1","A",0
"arm1","H",0
"arm1","HQ",0
"arm1","I",0
"arm1","IA",0
"arm1","IAHQ",1
"arm1","IH",0
"arm1","Q",0
"arm1","S",0
"arm1","SIAHQ",0
"arm1","V",0
"arm1","VS",0
"arm1","VSI",0
"aro1","A",0
"aro1","H",0
"aro1","HQ",1
"aro1","I",0
"aro1","IA",0
"aro1","IAHQ",0
"aro1","IH",0
"aro1","Q",0
"aro1","S",0
"aro1","SIAHQ",0
"aro1","V",0
"aro1","VS",0
"aro1","VSI",0
"asu1","A",0
"asu1","H",1
"asu1","HQ",0
"asu1","I",1
"asu1","IA",0
"asu1","IAHQ",0
"asu1","IH",0
"asu1","Q",1
"asu1","S",1
"asu1","SIAHQ",0
"asu1","V",1
"asu1","VS",0
"asu1","VSI",0
"ato1","A",0
"ato1","H",0
"ato1","HQ",0
"ato1","I",0
"ato1","IA",0
"ato1","IAHQ",0
"ato1","IH",1
"ato1","Q",0
"ato1","S",0
"ato1","SIAHQ",0
"ato1","V",0
"ato1","VS",0
"ato1","VSI",0
"awa1","A",0
"awa1","H",0
"awa1","HQ",1
"awa1","I",0
"awa1","IA",1
"awa1","IAHQ",0
"awa1","IH",0
"awa1","Q",0
"awa1","S",0
"awa1","SIAHQ",0
"awa1","V",0
"awa1","VS",1
"awa1","VSI",0
"awa2","A",0
"awa2","H",1
"awa2","HQ",0
"awa2","I",0
"awa2","IA",0
"awa2","IAHQ",0
"awa2","IH",0
"awa2","Q",1
"awa2","S",0
"awa2","SIAHQ",0
"awa2","V",0
"awa2","VS",0
"awa2","VSI",0
"aya1","A",0
"aya1","H",0
"aya1","HQ",1
"aya1","I",1
"aya1","IA",0
"aya1","IAHQ",0
"aya1","IH",0
"aya1","Q",0
"aya1","S",1
"aya1","SIAHQ",0
"aya1","V",1
"aya1","VS",0
"aya1","VSI",0
"aym1","A",0
"aym1","H",0
"aym1","HQ",1
"aym1","I",0
"aym1","IA",1
"aym1","IAHQ",0
"aym1","IH",0
"aym1","Q",0
"aym1","S",0
"aym1","SIAHQ",0
"aym1","V",0
"aym1","VS",1
"aym1","VSI",0
"baa1","A",0
"baa1","H",0
"baa1","HQ",1
"baa1","I",0
"baa1","IA",0
"baa1","IAHQ",0
"baa1","IH",0
"baa1","Q",0
"baa1","S",0
"baa1","SIAHQ",0
"baa1","V",0
"baa1","VS",1
"baa1","VSI",0
"bai1","A",0
"bai1","H",0
"bai1","HQ",1
"bai1","I",0
"bai1","IA",0
"bai1","IAHQ",0
"bai1","IH",0
"bai1","Q",0
"bai1","S",0
"bai1","SIAHQ",0
"bai1","V",0
"bai1","VS",0
"bai1","VSI",0
"bal1","A",0
"bal1","H",0
"bal1","HQ",0
"bal1","I",0
"bal1","IA",0
"bal1","IAHQ",0
"bal1","IH",0
"bal1","Q",0
"bal1","S",0
"bal1","SIAHQ",0
"bal1","V",0
"bal1","VS",0
"bal1","VSI",0
"bar1","A",0
"bar1","H",0
"bar1","HQ",1
"bar1","I",0
"bar1","IA",1
"bar1","IAHQ",0
"bar1","IH",0
"bar1","Q",0
"bar1","S",1
"bar1","SIAHQ",0
"bar1","V",1
"bar1","VS",0
"bar1","VSI",0
"bek1","A",0
"bek1","H",0
"bek1","HQ",0
"bek1","I",0
"bek1","IA",0
"bek1","IAHQ",1
"bek1","IH",0
"bek1","Q",0
"bek1","S",0
"bek1","SIAHQ",0
"bek1","V",0
"bek1","VS",1
"bek1","VSI",0
"bic1","A",0
"bic1","H",0
"bic1","HQ",0
"bic1","I",0
"bic1","IA",0
"bic1","IAHQ",0
"bic1","IH",0
"bic1","Q",0
"bic1","S",0
"bic1","SIAHQ",0
"bic1","V",0
"bic1","VS",0
"bic1","VSI",0
"bul1","A",0
"bul1","H",0
"bul1","HQ",0
"bul1","I",0
"bul1","IA",0
"bul1","IAHQ",1
"bul1","IH",0
"bul1","Q",0
"bul1","S",0
"bul1","SIAHQ",0
"bul1","V",0
"bul1","VS",1
"bul1","VSI",0
"can1","A",0
"can1","H",0
"can1","HQ",0
"can1","I",0
"can1","IA",0
"can1","IAHQ",1
"can1","IH",0
"can1","Q",0
"can1","S",0
"can1","SIAHQ",0
"can1","V",0
"can1","VS",0
"can1","VSI",0
"che1","A",0
"che1","H",1
"che1","HQ",0
"che1","I",0
"che1","IA",0
"che1","IAHQ",0
"che1","IH",0
"che1","Q",1
"che1","S",0
"che1","SIAHQ",0
"che1","V",0
"che1","VS",0
"che1","VSI",0
"chi1","A",0
"chi1","H",0
"chi1","HQ",1
"chi1","I",0
"chi1","IA",1
"chi1","IAHQ",0
"chi1","IH",0
"chi1","Q",0
"chi1","S",0
"chi1","SIAHQ",0
"chi1","V",0
"chi1","VS",1
"chi1","VSI",0
"chi2","A",0
"chi2","H",0
"chi2","HQ",0
"chi2","I",0
"chi2","IA",0
"chi2","IAHQ",0
"chi2","IH",0
"chi2","Q",0
"chi2","S",0
"chi2","SIAHQ",0
"chi2","V",0
"chi2","VS",0
"chi2","VSI",0
"cir1","A",0
"cir1","H",0
"cir1","HQ",0
"cir1","I",0
"cir1","IA",0
"cir1","IAHQ",1
"cir1","IH",0
"cir1","Q",0
"cir1","S",0
"cir1","SIAHQ",0
"cir1","V",0
"cir1","VS",0
"cir1","VSI",0
"col1","A",0
"col1","H",0
"col1","HQ",0
"col1","I",0
"col1","IA",0
"col1","IAHQ",0
"col1","IH",0
"col1","Q",0
"col1","S",0
"col1","SIAHQ",0
"col1","V",0
"col1","VS",0
"col1","VSI",0
"daw1","A",0
"daw1","H",0
"daw1","HQ",1
"daw1","I",0
"daw1","IA",0
"daw1","IAHQ",0
"daw1","IH",0
"daw1","Q",0
"daw1","S",0
"daw1","SIAHQ",0
"daw1","V",0
"daw1","VS",0
"daw1","VSI",0
"des1","A",1
"des1","H",0
"des1","HQ",1
"des1","I",1
"des1","IA",0
"des1","IAHQ",0
"des1","IH",0
"des1","Q",0
"des1","S",1
"des1","SIAHQ",0
"des1","V",1
"des1","VS",0
"des1","VSI",0
"ean1","A",0
"ean1","H",0
"ean1","HQ",0
"ean1","I",0
"ean1","IA",0
"ean1","IAHQ",0
"ean1","IH",0
"ean1","Q",0
"ean1","S",0
"ean1","SIAHQ",0
"ean1","V",0
"ean1","VS",0
"ean1","VSI",0
"eci1","A",0
"eci1","H",0
"eci1","HQ",1
"eci1","I",0
"eci1","IA",0
"eci1","IAHQ",0
"eci1","IH",0
"eci1","Q",0
"eci1","S",0
"eci1","SIAHQ",0
"eci1","V",0
"eci1","VS",0
"eci1","VSI",0
"eek1","A",0
"eek1","H",0
"eek1","HQ",0
"eek1","I",0
"eek1","IA",0
"eek1","IAHQ",0
"eek1","IH",0
"eek1","Q",0
"eek1","S",0
"eek1","SIAHQ",0
"eek1","V",0
"eek1","VS",0
"eek1","VSI",0
"ela1","A",0
"ela1","H",0
"ela1","HQ",1
"ela1","I",0
"ela1","IA",0
"ela1","IAHQ",0
"ela1","IH",0
"ela1","Q",0
"ela1","S",0
"ela1","SIAHQ",0
"ela1","V",0
"ela1","VS",0
"ela1","VSI",0
"ena1","A",0
"ena1","H",0
"ena1","HQ",1
"ena1","I",0
"ena1","IA",0
"ena1","IAHQ",0
"ena1","IH",0
"ena1","Q",0
"ena1","S",0
"ena1","SIAHQ",0
"ena1","V",0
"ena1","VS",0
"ena1","VSI",0
"eng1","A",0
"eng1","H",0
"eng1","HQ",0
"eng1","I",0
"eng1","IA",0
"eng1","IAHQ",0
"eng1","IH",0
"eng1","Q",0
"eng1","S",0
"eng1","SIAHQ",0
"eng1","V",0
"eng1","VS",0
"eng1","VSI",0
"eno1","A",0
"eno1","H",0
"eno1","HQ",1
"eno1","I",0
"eno1","IA",0
"eno1","IAHQ",0
"eno1","IH",0
"eno1","Q",0
"eno1","S",0
"eno1","SIAHQ",0
"eno1","V",0
"eno1","VS",0
"eno1","VSI",0
"era1","A",0
"era1","H",0
"era1","HQ",0
"era1","I",0
"era1","IA",0
"era1","IAHQ",0
"era1","IH",0
"era1","Q",0
"era1","S",0
"era1","SIAHQ",0
"era1","V",0
"era1","VS",0
"era1","VSI",0
"era2","A",0
"era2","H",1
"era2","HQ",0
"era2","I",0
"era2","IA",1
"era2","IAHQ",0
"era2","IH",0
"era2","Q",1
"era2","S",0
"era2","SIAHQ",0
"era2","V",0
"era2","VS",1
"era2","VSI",0
"era3","A",1
"era3","H",0
"era3","HQ",1
"era3","I",1
"era3","IA",0
"era3","IAHQ",0
"era3","IH",0
"era3","Q",0
"era3","S",0
"era3","SIAHQ",0
"era3","V",1
"era3","VS",0
"era3","VSI",0
"eri1","A",0
"eri1","H",0
"eri1","HQ",0
"eri1","I",0
"eri1","IA",0
"eri1","IAHQ",1
"eri1","IH",0
"eri1","Q",0
"eri1","S",0
"eri1","SIAHQ",0
"eri1","V",0
"eri1","VS",1
"eri1","VSI",0
"eri2","A",1
"eri2","H",0
"eri2","HQ",1
"eri2","I",1
"eri2","IA",0
"eri2","IAHQ",0
"eri2","IH",0
"eri2","Q",0
"eri2","S",0
"eri2","SIAHQ",0
"eri2","V",1
"eri2","VS",0
"eri2","VSI",0
"ese1","A",0
"ese1","H",0
"ese1","HQ",0
"ese1","I",0
"ese1","IA",0
"ese1","IAHQ",0
"ese1","IH",0
"ese1","Q",0
"ese1","S",0
"ese1","SIAHQ",0
"ese1","V",0
"ese1","VS",0
"ese1","VSI",0
"ese2","A",0
"ese2","H",0
"ese2","HQ",0
"ese2","I",0
"ese2","IA",0
"ese2","IAHQ",0
"ese2","IH",0
"ese2","Q",0
"ese2","S",0
"ese2","SIAHQ",0
"ese2","V",0
"ese2","VS",0
"ese2","VSI",0
"est1","A",0
"est1","H",0
"est1","HQ",1
"est1","I",0
"est1","IA",0
"est1","IAHQ",0
"est1","IH",0
"est1","Q",0
"est1","S",0
"est1","SIAHQ",0
"est1","V",0
"est1","VS",0
"est1","VSI",0
"ets1","A",0
