"Language_ID","Feature","Value"
"nam1","DU",1
"nam1","TR",0
"nam1","PAUC2",0
"nam1","PAUC3",1
"nam1","PAUC4",0
"nam1","GPAUC",0
"nam1","PL2",0
"nam1","PL3",0
"nam1","PL6",1
"nam1","PL8",0
"nga1","BARE",0
"nga1","SG",1
"nga1","DU",1
"nga1","TR",0
"nga1","PAUC2",0
"nga1","PAUC3",1
"nga1","PAUC4",0
"nga1","GPAUC",0
"nga1","PL2",0
"nga1","PL3",0
"nga1","PL6",1
"nga1","PL8",0
"nga2","BARE",0
"nga2","SG",1
"nga2","DU",1
"nga2","TR",0
"nga2","PAUC2",0
"nga2","PAUC3",1
"nga2","PAUC4",0
"nga2","GPAUC",1
"nga2","PL2",0
"nga2","PL3",0
"nga2","PL6",0
"nga2","PL8",1
"paa1","BARE",0
"paa1","SG",1
"paa1","DU",1
"paa1","TR",0
"paa1","PAUC2",0
"paa1","PAUC3",1
"paa1","PAUC4",0
"paa1","GPAUC",0
"paa1","PL2",0
"paa1","PL3",0
"paa1","PL6",1
"paa1","PL8",0
"rit1","BARE",0
"rit1","SG",1
"rit1","DU",1
"rit1","TR",0
"rit1","PAUC2",0
"rit1","PAUC3",0
"rit1","PAUC4",0
"rit1","GPAUC",0
"rit1","PL2",0
"rit1","PL3",1
"rit1","PL6",0
"rit1","PL8",0
"rri1","BARE",0
"rri1","SG",1
"rri1","DU",1
"rri1","TR",1
"rri1","PAUC2",0
"rri1","PAUC3",0
"rri1","PAUC4",0
"rri1","GPAUC",0
"rri1","PL2",0
"rri1","PL3",1
"rri1","PL6",0
"rri1","PL8",0
"rus1","BARE",0
"rus1","SG",1
"rus1","DU",0
"rus1","TR",0
"rus1","PAUC2",0
"rus1","PAUC3",0
"rus1","PAUC4",0
"rus1","GPAUC",0
"rus1","PL2",1
"rus1","PL3",0
"rus1","PL6",0
"rus1","PL8",0
"rym1","BARE",0
"rym1","SG",1
"rym1","DU",1
"rym1","TR",0
"rym1","PAUC2",0
"rym1","PAUC3",1
"rym1","PAUC4",0
"rym1","GPAUC",0
"rym1","PL2",0
"rym1","PL3",0
"rym1","PL6",1
"rym1","PL8",0
"saa1","BARE",0
"saa1","SG",1
"saa1","DU",1
"saa1","TR",0
"saa1","PAUC2",0
"saa1","PAUC3",1
"saa1","PAUC4",0
"saa1","GPAUC",0
"saa1","PL2",0
"saa1","PL3",0
"saa1","PL6",1
"saa1","PL8",0
"tha1","BARE",0
"tha1","SG",1
"tha1","DU",1
"tha1","TR",0
"tha1","PAUC2",0
"tha1","PAUC3",1
"tha1","PAUC4",0
"tha1","GPAUC",0
"tha1","PL2",0
"tha1","PL3",0
"tha1","PL6",1
"tha1","PL8",0
"tye1","BARE",0
"tye1","SG",1
"tye1","DU",1
"tye1","TR",0
"tye1","PAUC2",0
"tye1","PAUC3",1
"tye1","PAUC4",0
"tye1","GPAUC",0
"tye1","PL2",0
"tye1","PL3",0
"tye1","PL6",1
"tye1","PL8",0
"ula1","BARE",0
"ula1","SG",1
"ula1","DU",0
"ula1","TR",0
"ula1","PAUC2",1
"ula1","PAUC3",0
"ula1","PAUC4",0
"ula1","GPAUC",0
"ula1","PL2",0
"ula1","PL3",0
"ula1","PL6",1
"ula1","PL8",0
"upp1","BARE",0
"upp1","SG",1
"upp1","DU",1
"upp1","TR",0
"upp1","PAUC2",0
"upp1","PAUC3",0
"upp1","PAUC4",0
"upp1","GPAUC",0
"upp1","PL2",0
"upp1","PL3",1
"upp1","PL6",0
"upp1","PL8",0
"var1","BARE",0
"var1","SG",1
"var1","DU",0
"var1","TR",0
"var1","PAUC2",1
"var1","PAUC3",0
"var1","PAUC4",0
"var1","GPAUC",0
"var1","PL2",0
"var1","PL3",0
"var1","PL6",1
"var1","PL8",0
"yel1","BARE",0
"yel1","SG",1
"yel1","DU",1
"yel1","TR",1
"yel1","PAUC2",0
"yel1","PAUC3",0
"yel1","PAUC4",0
"yel1","GPAUC",0
"yel1","PL2",0
"yel1","PL3",1
"yel1","PL6",0
"yel1","PL8",0
"yso1","BARE",0
"yso1","SG",1
"yso1","DU",0
"yso1","TR",0
"yso1","PAUC2",1
